Date,Expense,Amount,Category,Wallet,Monthly Overview,Checkbox
"December 29, 2024",Geforce now,THB 232.62,🎮Entertainment_DEC24 (https://app.notion.com/p/Entertainment_DEC24-52df91152ac24c57bfafada8e4631137?pvs=21),Credit card,December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),No
"January 4, 2025",Food,THB 130.00,🍴Eating_JAN25 (https://app.notion.com/p/Eating_JAN25-1680423c142680519cd1fd8eed652a52?pvs=21),Online banking,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),No
"January 3, 2025",กาญจน์โภชนา,THB 70.00,🍴Eating_JAN25 (https://app.notion.com/p/Eating_JAN25-1680423c142680519cd1fd8eed652a52?pvs=21),Online banking,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),No
"January 2, 2025",Mingmitr,THB 65.00,🍴Eating_JAN25 (https://app.notion.com/p/Eating_JAN25-1680423c142680519cd1fd8eed652a52?pvs=21),Online banking,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),No
"January 2, 2025",ก๋วยเตี๋ยว,THB 69.00,🍴Eating_JAN25 (https://app.notion.com/p/Eating_JAN25-1680423c142680519cd1fd8eed652a52?pvs=21),Online banking,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),No
"January 1, 2025",Milk,THB 48.75,🍴Eating_JAN25 (https://app.notion.com/p/Eating_JAN25-1680423c142680519cd1fd8eed652a52?pvs=21),Online banking,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),No
"January 1, 2025",Today,THB 466.52,🍴Eating_JAN25 (https://app.notion.com/p/Eating_JAN25-1680423c142680519cd1fd8eed652a52?pvs=21),Online banking,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),No
"January 1, 2025",Cafe sujinno,THB 20.00,🍴Eating_JAN25 (https://app.notion.com/p/Eating_JAN25-1680423c142680519cd1fd8eed652a52?pvs=21),Online banking,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),No
"December 31, 2024",ครัวป้าไก่,THB 175.00,🍴Eating_DEC24 (https://app.notion.com/p/Eating_DEC24-5b5e9d84697c430b91d2c08d9bfa4a9d?pvs=21),Online banking,December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),No
"December 30, 2024",Bean liquor,THB 170.00,🍴Eating_DEC24 (https://app.notion.com/p/Eating_DEC24-5b5e9d84697c430b91d2c08d9bfa4a9d?pvs=21),Online banking,December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),No
"December 30, 2024",กระเพรากระด้ง,THB 140.00,🍴Eating_DEC24 (https://app.notion.com/p/Eating_DEC24-5b5e9d84697c430b91d2c08d9bfa4a9d?pvs=21),Online banking,December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),No
"December 30, 2024",Oil,THB 760.00,🛢️Transportation_DEC24 (https://app.notion.com/p/Transportation_DEC24-7e52c99593844f36bf4a258dd7a41dc9?pvs=21),Credit card,December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),No
