Expense,Amount,Category,Checkbox,Date,Monthly Overview,Wallet
ก๋วยเตี๋ยวโกเหลียง,THB 45.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 5, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
หลงฮัวหลังมอ,THB 273.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 5, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
กระเพราหมูไข่ดาว,THB 60.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 6, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Sofuto,THB 50.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 5, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
7-11,THB 119.25,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 4, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
กระเพรากระด้ง,THB 118.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 4, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ข้าว,THB 124.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 3, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ข้าว,THB 50.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 3, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Book box set,"THB 2,455.00",Lover_OCT23 (https://app.notion.com/p/Lover_OCT23-4014f230adb1493aafc84ab78d4e94d5?pvs=21),No,"October 2, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ข้าว,THB 130.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 2, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ป้านิด,THB 60.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 2, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ซื้อของ,THB 65.00,Shopping_OCT23 (https://app.notion.com/p/Shopping_OCT23-ce8eb82e93e747ff9031054fcb6ddbf9?pvs=21),No,"October 1, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ข้าว,THB 207.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 1, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
เปลี่ยนน้ำมันเครื่อง,THB 470.00,Car_OCT23 (https://app.notion.com/p/Car_OCT23-363ca686b54a41918e2c18e8acdf3a4e?pvs=21),No,"October 1, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ข้าว,THB 42.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 1, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
สุกี้ช้างเผือก,THB 154.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 6, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
รวมทั้งเดือน ก.ย.,"THB 10,125.45",,No,"September 30, 2023",September 23 (https://app.notion.com/p/September-23-3ba5bba5d6404641a57d8636a0f504c0?pvs=21),
ขูดหินปูน,THB 900.00,Health & Fitness_OCT23 (https://app.notion.com/p/Health-Fitness_OCT23-acbace6911144bfda918674649d7ae8e?pvs=21),No,"October 7, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Gallery seescape,THB 240.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 7, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ด้งเจริญ,THB 79.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 7, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
Mondae Kitchen,THB 79.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 8, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
Steak,THB 69.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 8, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
OR,THB 53.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 9, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
ฮ้านถึงเชียงใหม่,THB 165.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 9, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Seoul mind,THB 106.00,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 9, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Online banking
Oatside,THB 677.82,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
Bluekoff,THB 337.55,Eating_OCT23 (https://app.notion.com/p/Eating_OCT23-520a8fadd5c444c1a741a156f5de4c59?pvs=21),No,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),Credit card
