Date,Income,Category,Budget,Amount,Property,Monthly Overview,Type
"January 6, 2026",DF cost,On duty,THB 420.00,THB 420.00,Yes,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),🤷‍♂️เงิน DF_JAN26 (https://app.notion.com/p/DF_JAN26-2c90423c142680a18a26c4bafad3b04e?pvs=21)
"January 6, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),⌚เงินรายชั่วโมง_JAN26 (https://app.notion.com/p/_JAN26-2c90423c142680cd9593f9222b4fbfac?pvs=21)
"January 6, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),👍🏼เงิน top up_JAN26 (https://app.notion.com/p/top-up_JAN26-2c90423c142680c9afa5eb28e34ed64b?pvs=21)
"January 14, 2026",DF cost,On duty,THB 270.00,THB 270.00,Yes,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),🤷‍♂️เงิน DF_JAN26 (https://app.notion.com/p/DF_JAN26-2c90423c142680a18a26c4bafad3b04e?pvs=21)
"January 14, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),⌚เงินรายชั่วโมง_JAN26 (https://app.notion.com/p/_JAN26-2c90423c142680cd9593f9222b4fbfac?pvs=21)
"January 14, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),👍🏼เงิน top up_JAN26 (https://app.notion.com/p/top-up_JAN26-2c90423c142680c9afa5eb28e34ed64b?pvs=21)
"January 20, 2026",เวรเหมา 1หมื่น,On duty,"THB 10,000.00","THB 10,000.00",Yes,December 25 (https://app.notion.com/p/December-25-1680423c1426803f85ceedf0b2210a9c?pvs=21),👝เงินเวรเหมา_DEC25 (https://app.notion.com/p/_DEC25-1680423c142680a494f3f4df438c5ebf?pvs=21)
"January 26, 2026",เงินเดือน + เงินประจำตำแหน่ง,Salary,"THB 27,720.00","THB 27,720.00",Yes,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),🏧เงินเดือนจาก สสจ._JAN26 (https://app.notion.com/p/_JAN26-2c90423c1426802893aec969d4ab67c6?pvs=21)
"February 5, 2026",DF cost,On duty,THB 330.00,THB 360.00,Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),🤷‍♂️เงิน DF_FEB26 (https://app.notion.com/p/DF_FEB26-2c90423c14268012b180ef4b79ef8ab7?pvs=21)
"February 5, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),⌚เงินรายชั่วโมง_FEB26 (https://app.notion.com/p/_FEB26-2c90423c142680d58c31f0c94b369270?pvs=21)
"February 5, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),👍🏼เงิน top up_FEB26 (https://app.notion.com/p/top-up_FEB26-2c90423c142680b3b652e955ac17d77b?pvs=21)
"February 8, 2026",ซื้อ TTCM,On duty,"THB 1,000.00",THB 990.00,Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),💉TTCM_FEB26 (https://app.notion.com/p/TTCM_FEB26-2c90423c142680e18647eff56b348c72?pvs=21)
"February 20, 2026",เวรเหมา 1หมื่น,On duty,"THB 10,000.00","THB 10,000.00",Yes,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),👝เงินเวรเหมา_JAN26 (https://app.notion.com/p/_JAN26-2c90423c1426800eb1caef4b3db95e51?pvs=21)
"February 23, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),⌚เงินรายชั่วโมง_FEB26 (https://app.notion.com/p/_FEB26-2c90423c142680d58c31f0c94b369270?pvs=21)
"February 23, 2026",DF cost,On duty,THB 480.00,THB 480.00,Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),🤷‍♂️เงิน DF_FEB26 (https://app.notion.com/p/DF_FEB26-2c90423c14268012b180ef4b79ef8ab7?pvs=21)
"February 23, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),👍🏼เงิน top up_FEB26 (https://app.notion.com/p/top-up_FEB26-2c90423c142680b3b652e955ac17d77b?pvs=21)
"February 26, 2026",เงินเดือน + เงินประจำตำแหน่ง,Salary,"THB 27,720.00","THB 27,700.00",Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),🏧เงินเดือนจาก สสจ._FEB26 (https://app.notion.com/p/_FEB26-2c90423c14268040af84e87d0fa3e4f7?pvs=21)
"February 28, 2026",Hour cost,On duty,"THB 1,200.00","THB 1,200.00",Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),⌚เงินรายชั่วโมง_FEB26 (https://app.notion.com/p/_FEB26-2c90423c142680d58c31f0c94b369270?pvs=21)
"February 28, 2026",DF cost,On duty,THB 660.00,THB 660.00,Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),🤷‍♂️เงิน DF_FEB26 (https://app.notion.com/p/DF_FEB26-2c90423c14268012b180ef4b79ef8ab7?pvs=21)
"February 28, 2026",ซื้อ ปกส. นอกเวลา 8ชั่วโมง,Top up,"THB 2,500.00","THB 2,500.00",Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),👍🏼เงิน top up_FEB26 (https://app.notion.com/p/top-up_FEB26-2c90423c142680b3b652e955ac17d77b?pvs=21)
"March 14, 2026",ซื้อ TTCM,On duty,"THB 1,000.00",THB 990.00,Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),💉TTCM_MAR26 (https://app.notion.com/p/TTCM_MAR26-2c90423c14268038a86cecab11a97902?pvs=21)
"March 17, 2026",DF cost,On duty,THB 330.00,THB 330.00,Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),🤷‍♂️เงิน DF_MAR26 (https://app.notion.com/p/DF_MAR26-2c90423c142680249705dcefccc5d75b?pvs=21)
"March 17, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),⌚เงินรายชั่วโมง_MAR26 (https://app.notion.com/p/_MAR26-2c90423c142680178fbbcbfabcb5816d?pvs=21)
"March 17, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),👍🏼เงิน top up_MAR26 (https://app.notion.com/p/top-up_MAR26-2c90423c1426804a9804f215d09beb10?pvs=21)
"March 20, 2026",เวรเหมา 1หมื่น,On duty,"THB 10,000.00","THB 10,000.00",Yes,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),👝เงินเวรเหมา_FEB26 (https://app.notion.com/p/_FEB26-2c90423c142680d1a6dbfd1cbdf0519d?pvs=21)
"March 22, 2026",DF cost,On duty,THB 630.00,THB 630.00,Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),🤷‍♂️เงิน DF_MAR26 (https://app.notion.com/p/DF_MAR26-2c90423c142680249705dcefccc5d75b?pvs=21)
"March 22, 2026",Hour cost,On duty,"THB 1,200.00","THB 1,200.00",Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),⌚เงินรายชั่วโมง_MAR26 (https://app.notion.com/p/_MAR26-2c90423c142680178fbbcbfabcb5816d?pvs=21)
"March 22, 2026",ซื้อ ปกส. นอกเวลา 8ชั่วโมง,Top up,"THB 2,100.00","THB 2,100.00",Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),👍🏼เงิน top up_MAR26 (https://app.notion.com/p/top-up_MAR26-2c90423c1426804a9804f215d09beb10?pvs=21)
"March 25, 2026",DF cost,On duty,THB 210.00,THB 210.00,Yes,March 26 (https://app.notion.com/p/March-26-2c90423c14268093a5d1d99ea2798193?pvs=21),🤷‍♂️เงิน DF_MAR26 (https://app.notion.com/p/DF_MAR26-2c90423c142680249705dcefccc5d75b?pvs=21)
