Income,Property,Amount,Budget,Category,Date,Monthly Overview,Type
เงินเดือน กันยายน,Yes,"THB 22,830.00","THB 22,830.00",Salary,"September 26, 2023",September 23 (https://app.notion.com/p/September-23-3ba5bba5d6404641a57d8636a0f504c0?pvs=21),🏧เงินเดือนจาก สสจ._SEP23 (https://app.notion.com/p/_SEP23-8d96b7ec6f3046168b04236dfc5ab571?pvs=21)
OPD นอก (8hr),Yes,"THB 2,000.00","THB 2,000.00",Top up,"September 30, 2023",September 23 (https://app.notion.com/p/September-23-3ba5bba5d6404641a57d8636a0f504c0?pvs=21),👍🏼เงิน top up_SEP23 (https://app.notion.com/p/top-up_SEP23-1469ad01d1ba4090b6750cf84534e5e9?pvs=21)
ปกส (8hr),Yes,"THB 2,000.00","THB 2,000.00",Top up,"September 30, 2023",September 23 (https://app.notion.com/p/September-23-3ba5bba5d6404641a57d8636a0f504c0?pvs=21),👍🏼เงิน top up_SEP23 (https://app.notion.com/p/top-up_SEP23-1469ad01d1ba4090b6750cf84534e5e9?pvs=21)
ปกส (4hr),Yes,"THB 1,000.00","THB 1,000.00",Top up,"September 30, 2023",September 23 (https://app.notion.com/p/September-23-3ba5bba5d6404641a57d8636a0f504c0?pvs=21),👍🏼เงิน top up_SEP23 (https://app.notion.com/p/top-up_SEP23-1469ad01d1ba4090b6750cf84534e5e9?pvs=21)
ซื้อ TTCM,Yes,THB 990.00,THB 990.00,On duty,"October 14, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),💉TTCM_OCT23 (https://app.notion.com/p/TTCM_OCT23-a131ff9122c04b188b1949b585ac2c60?pvs=21)
Hour cost ปกส.นอก 4hr,Yes,THB 400.00,THB 400.00,On duty,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),⌚เงินรายชั่วโมง_OCT23 (https://app.notion.com/p/_OCT23-3627a2ed16ae485c8319061ff0de6bf1?pvs=21)
DF cost,Yes,THB 330.00,THB 330.00,On duty,"October 10, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),🤷‍♂️เงิน DF_OCT23 (https://app.notion.com/p/DF_OCT23-ce1595388c57490295fde4226623ce1b?pvs=21)
ซื้อ OPD นอกเวลา 8ชั่วโมง,Yes,"THB 2,000.00","THB 2,000.00",Top up,"November 3, 2023",November 23 (https://app.notion.com/p/November-23-c8396e4196554a6285d1dae048bfe66c?pvs=21),👍🏼เงิน top up_NOV23 (https://app.notion.com/p/top-up_NOV23-b9ded8b4fc4345438183cd62f8f517aa?pvs=21)
เงินเดือน,Yes,"THB 22,830.00","THB 22,830.00",Salary,"October 7, 2023",October 23 (https://app.notion.com/p/October-23-95c03717e18a4af88306a469f4545489?pvs=21),🏧เงินเดือนจาก สสจ._OCT23 (https://app.notion.com/p/_OCT23-ac108831792c41a5a64ae6dc5780c8df?pvs=21)
ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Yes,"THB 1,000.00","THB 1,000.00",Top up,"November 22, 2023",November 23 (https://app.notion.com/p/November-23-c8396e4196554a6285d1dae048bfe66c?pvs=21),👍🏼เงิน top up_NOV23 (https://app.notion.com/p/top-up_NOV23-b9ded8b4fc4345438183cd62f8f517aa?pvs=21)
