Day,Invested,Share,NAV price,📕 Monthly Overview
"@June 29, 2024 ","THB 228,752.33",10075.1525,22.7,
"@May 5, 2022 ","THB 15,709.67",488.7694,32.14,
"@May 5, 2022 ","THB 28,500.00",1984.52,14.36,
"@May 5, 2022 ","THB 10,000.00",1322.2609,7.56,
"@April 9, 2024 ","THB 10,000.00",555.3095,18.01,
"@July 5, 2024 ","THB 25,410.73",1904.0528,13.35,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
"@December 9, 2023 ","THB 48,000.00",3827.3155,12.54,
"@March 14, 2024 ","THB 54,000.00",1685.1737,32.04,
"@December 9, 2022","THB 36,000.00",3977.9078,9.05,
"@March 14, 2024 ","THB 45,000.00",4158.5894,10.82,
"@March 14, 2024 ","THB 25,000.00",1400.0945,17.86,
"@July 19, 2024 ","THB 25,466.51",2123.7665,11.99,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
"@July 25, 2024 ","THB 14,637.31",1000.8759,14.62,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
