Day,Invested,NAV price,Share,📕 Monthly Overview
"@May 5, 2022 ","THB 15,709.67",32.14,488.7694,
"@May 5, 2022 ","THB 28,500.00",14.36,1984.52,
"@May 5, 2022 ","THB 10,000.00",7.56,1322.2609,
"@April 9, 2024 ","THB 10,000.00",18.01,555.3095,
"@July 5, 2024 ","THB 25,410.73",13.35,1904.0528,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
"@December 9, 2023 ","THB 48,000.00",12.54,3827.3155,
"@March 14, 2024 ","THB 54,000.00",32.04,1685.1737,
"@December 9, 2022","THB 36,000.00",9.05,3977.9078,
"@March 14, 2024 ","THB 45,000.00",10.82,4158.5894,
"@March 14, 2024 ","THB 25,000.00",17.86,1400.0945,
"@June 29, 2024 ","THB 228,752.33",22.7,10075.1525,
"@July 19, 2024 ","THB 25,466.51",11.99,2123.7665,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
"@July 25, 2024 ","THB 14,637.31",14.62,1000.8759,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
