Stock,Day,Invested,Shares,Share price,📕 Monthly Overview,Text
NVDA (https://app.notion.com/p/NVDA-18b0423c14268043977ac6baec35a91d?pvs=21),"@June 12, 2026 ",$246.06,1.1963011,$205.68,June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21),ปันผล
NVO (https://app.notion.com/p/NVO-2700423c142680b89cc7cd56ce4a0fcc?pvs=21),"@February 4, 2026 ",$314.96,6.5480249,$48.10,February 26 (https://app.notion.com/p/February-26-2c90423c142680cbb553dba809feb098?pvs=21),THB
QQQM (https://app.notion.com/p/QQQM-2e90423c142680259e67ca55b5be33e3?pvs=21),"@January 13, 2026 ",$131.89,0.5107264,$258.24,January 26 (https://app.notion.com/p/January-26-2c90423c142680648023f35f261f33f3?pvs=21),ปันผล
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@October 15, 2025 ",$103.68,1.8075944,$57.36,October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21),ปันผล
NVDA (https://app.notion.com/p/NVDA-18b0423c14268043977ac6baec35a91d?pvs=21),"@October 15, 2025 ",$611.80,3.3928571,$180.32,October 25 (https://app.notion.com/p/October-25-1680423c1426801db108da5af9c1f261?pvs=21),THB
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@September 24, 2025 ",$900.00,15.765963,$57.09,September 25 (https://app.notion.com/p/September-25-1680423c142680febd5ad64882b3e363?pvs=21),FCD
NVO (https://app.notion.com/p/NVO-2700423c142680b89cc7cd56ce4a0fcc?pvs=21),"@September 15, 2025 ",$628.53,11.0930109,$56.66,September 25 (https://app.notion.com/p/September-25-1680423c142680febd5ad64882b3e363?pvs=21),THB
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@July 16, 2025 ",$101.00,1.8515123,$54.55,July 25 (https://app.notion.com/p/July-25-1680423c142680bf957adb6994892d03?pvs=21),ปันผล
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@May 5, 2025 ","$1,568.12",30.4399689,$51.52,May 25 (https://app.notion.com/p/May-25-1680423c1426802f9076cb993db7d3f9?pvs=21),THB + ปันผล
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@April 3, 2025 ",$292.05,5.8495039,$49.93,April 25 (https://app.notion.com/p/April-25-1680423c14268091aa72fc1dd291be31?pvs=21),THB
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@March 4, 2025 ",$590.84,10.9495922,$53.96,March 25 (https://app.notion.com/p/March-25-1680423c142680a78829f3b78eb4898d?pvs=21),THB
NVDA (https://app.notion.com/p/NVDA-18b0423c14268043977ac6baec35a91d?pvs=21),"@January 29, 2025 ",$590.14,4.7405819,$124.49,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),THB
O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),"@January 8, 2025 ",$260.67,4.9793696,$52.35,January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21),USD
O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),"@November 6, 2024 ",$339.00,6,$56.50,November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),FCD
O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),"@December 18, 2024 ",$200.00,3.6706829,$54.49,December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21),USD
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@November 1, 2024 ",$325.68,6,$54.28,November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21),FCD
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@August 19, 2024 ",$293.72,5.4911198,$53.49,August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21),THB
MSFT (https://app.notion.com/p/MSFT-9a7b45c62ad54447b99d1ed7ffdcb485?pvs=21),"@July 31, 2024 ",$280.11,0.6725491,$416.49,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21),THB
O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),"@July 17, 2024 ",$277.76,4.8250039,$57.57,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21),THB
JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),"@July 1, 2024 ",$542.29,9.8374603,$55.13,July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21),THB
O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),"@24/06/2024 ",$271.44,5.1070555,$53.15,June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21),THB
