Day,Date,Invested,Rollup,Share price,Shares,Stock,THB invested,Text,USDTHB,📕 Monthly Overview
"@24/06/2024 ","June 24, 2024",$271.44,32.37,$53.15,5.1070555,O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),8786.5128,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),June 24 (https://app.notion.com/p/June-24-f0a893fb46524332a4cc44e0f7215b9f?pvs=21)
"@July 1, 2024 ","July 1, 2024",$542.29,32.37,$55.13,9.8374603,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),17553.9273,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
"@July 17, 2024 ","July 17, 2024",$277.76,32.37,$57.57,4.8250039,O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),8991.0912,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
"@July 31, 2024 ","July 31, 2024",$280.11,32.37,$416.49,0.6725491,MSFT (https://app.notion.com/p/MSFT-9a7b45c62ad54447b99d1ed7ffdcb485?pvs=21),9067.1607,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),July 24 (https://app.notion.com/p/July-24-f8bc5305397e49e194ac2b0f1fc1ddd9?pvs=21)
"@August 19, 2024 ","August 20, 2024",$293.72,32.37,$53.49,5.4911198,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),9507.7164,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),August 24 (https://app.notion.com/p/August-24-e7a234e3dd654ea6abe42c7c1413082e?pvs=21)
"@November 1, 2024 ","November 1, 2024",$325.68,32.37,$54.28,6,JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21),10542.2616,FCD,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21)
"@December 18, 2024 ","December 18, 2024",$200.00,32.37,$54.49,3.6706829,O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),6474,USD,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),December 24 (https://app.notion.com/p/December-24-465535b269844a8a855716fee9f5d2b3?pvs=21)
"@November 6, 2024 ","January 5, 2025",$339.00,32.37,$56.50,6,O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),10973.43,FCD,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),November 24 (https://app.notion.com/p/November-24-7790540498364ce4ac20fa0ec6bea9f7?pvs=21)
"@January 8, 2025 ","January 8, 2025",$260.67,32.37,$52.35,4.9793696,O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21),8437.8879,USD,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21)
"@January 29, 2025 ","January 30, 2025",$590.14,32.37,$124.49,4.7405819,NVDA (https://app.notion.com/p/NVDA-18b0423c14268043977ac6baec35a91d?pvs=21),19102.8318,THB,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),January 25 (https://app.notion.com/p/January-25-1680423c14268084a95dcad7ce162788?pvs=21)
