Name,Current NAV,Label Profit/Loss,Label invest
GPF,THB 39.12,Profit/Loss =  THB 165380.58 (72.29%),Invest =  THB 228752.33
SCBGOLDH-SSF,THB 17.25,Profit/Loss =  THB 11175.05 (43.88%),Invest =  THB 25466.51
SCBGOLD,THB 24.49,Profit/Loss =  THB 9870.64 (67.43%),Invest =  THB 14637.31
K-SET50,THB 42.43,Profit/Loss =  THB 5026.57 (31.99%),Invest =  THB 15709.67
K-ATECH,THB 11.25,Profit/Loss =  THB 4869.09 (48.69%),Invest =  THB 10000
K-CHANGE-SSF,THB 20.71,Profit/Loss =  THB 3994.84 (15.97%),Invest =  THB 25000
SCBFP-SSF,THB 13.98,Profit/Loss =  THB 1214.21 (4.778%),Invest =  THB 25410.73
PRINCIPAL iPROPEN-SSF,THB 9.15,Profit/Loss =  THB 385.13 (1.069%),Invest =  THB 36000
TISCOINA-A,THB 15.63,Profit/Loss =  THB -1317.9 (-13.1%),Invest =  THB 10000
K-VIETNAM,THB 13.66,Profit/Loss =  THB -1389.67 (-4.87%),Invest =  THB 28500
ONE-UGG-ASSF,THB 30.25,Profit/Loss =  THB -3031.42 (-5.61%),Invest =  THB 54000
KFGBRANSSF,THB 11.47,Profit/Loss =  THB -4103.37 (-8.54%),Invest =  THB 48000
ONE-ALLCHINA-ASSF,THB 8.00,Profit/Loss =  THB -11747.92 (-26.1%),Invest =  THB 45000
