Name,Account,App,Current NAV,Fund Invest formula,Invest,Invest-Funds,Label Profit/Loss,Label invest,Portfolio value formula,Profit/Loss formula,Profit/Loss formula2,Proportion,Related to Proportion (1) (Mutual Funds),Shares,Type
K-SET50,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 42.43,15709.67,15709.67,"@May 5, 2022  (https://app.notion.com/p/10a92e46147844028974b605052ace83?pvs=21)",Profit/Loss =  THB 5026.57 (31.99%),Invest =  THB 15709.67,20736.23730276,5026.56730276,5026.56730276,💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21),,488.7694,Equity Funds
K-VIETNAM,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 13.66,28500,28500,"@May 5, 2022  (https://app.notion.com/p/c04f8bb7390d4abeb8abfcea64c10142?pvs=21)",Profit/Loss =  THB -1389.67 (-4.87%),Invest =  THB 28500,27110.329268,-1389.670732,-1389.670732,💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21),,1984.52,Equity Funds
K-ATECH,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 11.25,10000,10000,"@May 5, 2022  (https://app.notion.com/p/9e353a967a9146e18e05121fc0dfe9a6?pvs=21)",Profit/Loss =  THB 4869.09 (48.69%),Invest =  THB 10000,14869.08827268,4869.08827268,4869.08827268,💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21),,1322.2609,Equity Funds
TISCOINA-A,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 15.63,10000,10000,"@April 9, 2024  (https://app.notion.com/p/a20e53638c1f437cb31907aad81aa7b0?pvs=21)",Profit/Loss =  THB -1317.9 (-13.1%),Invest =  THB 10000,8682.09743965,-1317.90256035,-1317.90256035,💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21),,555.3095,Equity Funds
SCBFP-SSF,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 13.98,25410.73,25410.73,"@July 5, 2024  (https://app.notion.com/p/13922546448c45748e1e4752a9a83977?pvs=21)",Profit/Loss =  THB 1214.21 (4.778%),Invest =  THB 25410.73,26624.94151824,1214.21151824,1214.21151824,💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21),,1904.0528,SSF
KFGBRANSSF,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 11.47,48000,48000,"@December 9, 2023  (https://app.notion.com/p/07c1ca9677b548e49bf8dc3f80ef2303?pvs=21)",Profit/Loss =  THB -4103.37 (-8.54%),Invest =  THB 48000,43896.62966415,-4103.37033585,-4103.37033585,💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21),,3827.3155,SSF
ONE-UGG-ASSF,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 30.25,54000,54000,"@March 14, 2024  (https://app.notion.com/p/247055ae73ea487dbba175f68b3309c4?pvs=21)",Profit/Loss =  THB -3031.42 (-5.61%),Invest =  THB 54000,50968.58410861,-3031.41589139,-3031.41589139,💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21),,1685.1737,SSF
PRINCIPAL iPROPEN-SSF,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 9.15,36000,36000,"@December 9, 2022 (https://app.notion.com/p/54d901b07f7a4d5a95e51f10e2f58bc7?pvs=21)",Profit/Loss =  THB 385.13 (1.069%),Invest =  THB 36000,36385.12706504,385.12706504,385.12706504,🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21),,3977.9078,SSF
ONE-ALLCHINA-ASSF,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 8.00,45000,45000,"@March 14, 2024  (https://app.notion.com/p/4643d4f181834ed8808690dc947cfb73?pvs=21)",Profit/Loss =  THB -11747.92 (-26.1%),Invest =  THB 45000,33252.0808424,-11747.9191576,-11747.9191576,💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21),,4158.5894,SSF
K-CHANGE-SSF,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),Finnomena,THB 20.71,25000,25000,"@March 14, 2024  (https://app.notion.com/p/e9298a8422454835bece6d506afb37ae?pvs=21)",Profit/Loss =  THB 3994.84 (15.97%),Invest =  THB 25000,28994.8370194,3994.8370194,3994.8370194,💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21),,1400.0945,SSF
