Type,All,Chat GPT recommendation,Cryptocurrency,FCD,Funds,Gold,Mutual Funds,Percent,Related Proportion,Stock,THB,THB Bank,Total balance,US Stocks,USD,USDTHB,USDtoTHB,Value,crypto,gold,เมืองไทยประกันชีวิต,💳 Bill tracker
💸 ตราสารหนี้,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),10%,,,26624.94151824,,SCBFP-SSF (https://app.notion.com/p/SCBFP-SSF-307440fbebb4462fbd356d63c232e9c7?pvs=21),2.62%,"💳 เงินฝาก (https://app.notion.com/p/993e22c261fb408ea8bfeb8e37d96d44?pvs=21), 💵 เงินฝากต่างประเทศ (https://app.notion.com/p/705b2084551a4c02bb0e670f1937716f?pvs=21), 💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21), 🪙 Cryptocurrency (https://app.notion.com/p/Cryptocurrency-6e41f39d33d544f0807eca658ce29a61?pvs=21), 🧈 ทองคำ (https://app.notion.com/p/e7b4fc069ef446b58926ca56a47dead2?pvs=21), 💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21), 📈 หุ้น (https://app.notion.com/p/e5fd800b04cb4ac4bc2e9aabae0f9fbd?pvs=21), 🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21)",0,0,,1014907.2667557071,,0,,0,"THB 26,624.94",0,0,0,
💰 กองทุนหุ้น,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),25%,,,228509.88391765,,"K-SET50 (https://app.notion.com/p/K-SET50-f710a4c2fbad4d11812b7fc9afd0bf08?pvs=21), K-VIETNAM (https://app.notion.com/p/K-VIETNAM-5fda147d595a4648a6941e51d79097aa?pvs=21), K-ATECH (https://app.notion.com/p/K-ATECH-da70efb4c3ce4aaea8761da016856e20?pvs=21), TISCOINA-A (https://app.notion.com/p/TISCOINA-A-87af22c97235453b9dd7b56f9ae7d578?pvs=21), K-CHANGE-SSF (https://app.notion.com/p/K-CHANGE-SSF-72fac8b2e53241daab536995981ad303?pvs=21), KFGBRANSSF (https://app.notion.com/p/KFGBRANSSF-192b590efa4f4cd8bdc04c7764de519c?pvs=21), ONE-UGG-ASSF (https://app.notion.com/p/ONE-UGG-ASSF-d00224958ddd4e0093ade5a054ee1751?pvs=21), ONE-ALLCHINA-ASSF (https://app.notion.com/p/ONE-ALLCHINA-ASSF-4aad54b8edd44712b2d5636e10503ead?pvs=21)",22.52%,"💳 เงินฝาก (https://app.notion.com/p/993e22c261fb408ea8bfeb8e37d96d44?pvs=21), 💵 เงินฝากต่างประเทศ (https://app.notion.com/p/705b2084551a4c02bb0e670f1937716f?pvs=21), 💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21), 💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21), 🪙 Cryptocurrency (https://app.notion.com/p/Cryptocurrency-6e41f39d33d544f0807eca658ce29a61?pvs=21), 🧈 ทองคำ (https://app.notion.com/p/e7b4fc069ef446b58926ca56a47dead2?pvs=21), 📈 หุ้น (https://app.notion.com/p/e5fd800b04cb4ac4bc2e9aabae0f9fbd?pvs=21), 🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21)",0,0,,1014907.2667557071,,0,,0,"THB 228,509.88",0,0,0,
📈 หุ้น,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),20%,,,0,,,32.53%,"💳 เงินฝาก (https://app.notion.com/p/993e22c261fb408ea8bfeb8e37d96d44?pvs=21), 💵 เงินฝากต่างประเทศ (https://app.notion.com/p/705b2084551a4c02bb0e670f1937716f?pvs=21), 💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21), 💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21), 🪙 Cryptocurrency (https://app.notion.com/p/Cryptocurrency-6e41f39d33d544f0807eca658ce29a61?pvs=21), 🧈 ทองคำ (https://app.notion.com/p/e7b4fc069ef446b58926ca56a47dead2?pvs=21), 📈 หุ้น (https://app.notion.com/p/e5fd800b04cb4ac4bc2e9aabae0f9fbd?pvs=21), 🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21)",330189.5078676371,0,,1014907.2667557071,"O (https://app.notion.com/p/O-dc17975a670845d18f02f521bad1dfa4?pvs=21), JEPQ (https://app.notion.com/p/JEPQ-0a148f37877549debeefa8fe04e5ca50?pvs=21), MSFT (https://app.notion.com/p/MSFT-9a7b45c62ad54447b99d1ed7ffdcb485?pvs=21), NVDA (https://app.notion.com/p/NVDA-18b0423c14268043977ac6baec35a91d?pvs=21), NVO (https://app.notion.com/p/NVO-2700423c142680b89cc7cd56ce4a0fcc?pvs=21), QQQM (https://app.notion.com/p/QQQM-2e90423c142680259e67ca55b5be33e3?pvs=21)",0,,0,"THB 330,189.51",0,0,0,
💳 เงินฝาก,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),15%,,,0,,,16.27%,"💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21), 💵 เงินฝากต่างประเทศ (https://app.notion.com/p/705b2084551a4c02bb0e670f1937716f?pvs=21), 💳 เงินฝาก (https://app.notion.com/p/993e22c261fb408ea8bfeb8e37d96d44?pvs=21), 🪙 Cryptocurrency (https://app.notion.com/p/Cryptocurrency-6e41f39d33d544f0807eca658ce29a61?pvs=21), 🧈 ทองคำ (https://app.notion.com/p/e7b4fc069ef446b58926ca56a47dead2?pvs=21), 💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21), 📈 หุ้น (https://app.notion.com/p/e5fd800b04cb4ac4bc2e9aabae0f9fbd?pvs=21), 🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21)",0,165094.555,Bath (https://app.notion.com/p/Bath-9949c256b50443038c55983e17e3e865?pvs=21),1014907.2667557071,,0,,0,"THB 165,094.56",0,0,0,
💵 เงินฝากต่างประเทศ,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),5%,,,0,,,13.53%,"💳 เงินฝาก (https://app.notion.com/p/993e22c261fb408ea8bfeb8e37d96d44?pvs=21), 💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21), 💵 เงินฝากต่างประเทศ (https://app.notion.com/p/705b2084551a4c02bb0e670f1937716f?pvs=21), 🪙 Cryptocurrency (https://app.notion.com/p/Cryptocurrency-6e41f39d33d544f0807eca658ce29a61?pvs=21), 🧈 ทองคำ (https://app.notion.com/p/e7b4fc069ef446b58926ca56a47dead2?pvs=21), 💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21), 📈 หุ้น (https://app.notion.com/p/e5fd800b04cb4ac4bc2e9aabae0f9fbd?pvs=21), 🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21)",0,0,,1014907.2667557071,,137303.5053,USDTHB (https://app.notion.com/p/USDTHB-d9ba323776214129a9972c7e9b5c0a3a?pvs=21),32.37,"THB 137,303.51",0,0,0,
🧈 ทองคำ,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),5%,,,61149.503526500004,MST-GOLD 99.99% (https://app.notion.com/p/MST-GOLD-99-99-32500f099b8c42b8bf31a9b3f610b6e0?pvs=21),"SCBGOLDH-SSF (https://app.notion.com/p/SCBGOLDH-SSF-f4139bc908a74c4dbc842202f346fc96?pvs=21), SCBGOLD (https://app.notion.com/p/SCBGOLD-c1023db5a6fc46f6b0308da1ee99c0e5?pvs=21)",8.95%,"💳 เงินฝาก (https://app.notion.com/p/993e22c261fb408ea8bfeb8e37d96d44?pvs=21), 💵 เงินฝากต่างประเทศ (https://app.notion.com/p/705b2084551a4c02bb0e670f1937716f?pvs=21), 💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21), 💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21), 📈 หุ้น (https://app.notion.com/p/e5fd800b04cb4ac4bc2e9aabae0f9fbd?pvs=21), 🪙 Cryptocurrency (https://app.notion.com/p/Cryptocurrency-6e41f39d33d544f0807eca658ce29a61?pvs=21), 🧈 ทองคำ (https://app.notion.com/p/e7b4fc069ef446b58926ca56a47dead2?pvs=21), 🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21)",0,0,,1014907.2667557071,,0,,0,"THB 90,799.75",0,29650.24256064,0,
🪙 Cryptocurrency,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),3%,BTCUSD (https://app.notion.com/p/BTCUSD-e6f942dd75b1495488d2f381c9474135?pvs=21),,0,,,0%,"💳 เงินฝาก (https://app.notion.com/p/993e22c261fb408ea8bfeb8e37d96d44?pvs=21), 💵 เงินฝากต่างประเทศ (https://app.notion.com/p/705b2084551a4c02bb0e670f1937716f?pvs=21), 💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21), 💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21), 📈 หุ้น (https://app.notion.com/p/e5fd800b04cb4ac4bc2e9aabae0f9fbd?pvs=21), 🪙 Cryptocurrency (https://app.notion.com/p/Cryptocurrency-6e41f39d33d544f0807eca658ce29a61?pvs=21), 🧈 ทองคำ (https://app.notion.com/p/e7b4fc069ef446b58926ca56a47dead2?pvs=21), 🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21)",0,0,,1014907.2667557071,,0,,0,THB 0.00,0,0,0,
🏘️ อสังหาริมทรัพย์/REITs,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),7%,,,36385.12706504,,PRINCIPAL iPROPEN-SSF (https://app.notion.com/p/PRINCIPAL-iPROPEN-SSF-79724ef000eb4035807eb836817308c3?pvs=21),3.59%,"🪙 Cryptocurrency (https://app.notion.com/p/Cryptocurrency-6e41f39d33d544f0807eca658ce29a61?pvs=21), 💵 เงินฝากต่างประเทศ (https://app.notion.com/p/705b2084551a4c02bb0e670f1937716f?pvs=21), 💳 เงินฝาก (https://app.notion.com/p/993e22c261fb408ea8bfeb8e37d96d44?pvs=21), 💰 กองทุนหุ้น (https://app.notion.com/p/d1cbdf71c5c045c4aaee88f351a92341?pvs=21), 📈 หุ้น (https://app.notion.com/p/e5fd800b04cb4ac4bc2e9aabae0f9fbd?pvs=21), 🧈 ทองคำ (https://app.notion.com/p/e7b4fc069ef446b58926ca56a47dead2?pvs=21), 💸 ตราสารหนี้ (https://app.notion.com/p/72c3c213efe34fddb229eba5cc9e74ae?pvs=21), 🏘️ อสังหาริมทรัพย์/REITs (https://app.notion.com/p/REITs-74ecf4e932df43389db7271a24e17c23?pvs=21)",0,0,,1014907.2667557071,,0,,0,"THB 36,385.13",0,0,0,
GPF,Total asset (https://app.notion.com/p/Total-asset-71aa78cc042e4d74b9ce18af44132ecf?pvs=21),ไม่เอามาคิดสัดส่วน,,,394132.91319325,,GPF (https://app.notion.com/p/GPF-fcf9752eeb3748f89b0ece43692b7526?pvs=21),0%,,0,0,,0,,0,,0,"THB 394,132.91",0,0,0,
"Insurance ",,ไม่เอามาคิดสัดส่วน,,,0,,,0%,,0,0,,0,,0,,0,"THB 270,000.00",0,0,270000,"ประกันออมทรัพย์ (https://app.notion.com/p/6eaf080538594145b7451c018181de7a?pvs=21), ประกันออมทรัพย์ (https://app.notion.com/p/562c39823f144dd1949ab53060822d0d?pvs=21), ประกันออมทรัพย์ (https://app.notion.com/p/fe637ed0ad454275afb6cd17e2a229cf?pvs=21), ประกันออมทรัพย์ (https://app.notion.com/p/211fb38cdf5a4884a099c35d17b49d8c?pvs=21), ประกันออมทรัพย์ (https://app.notion.com/p/14e0423c14268189bc45f88d79569b8b?pvs=21), ประกันออมทรัพย์ (https://app.notion.com/p/2bb0423c14268165b44ffa301d1b9428?pvs=21)"
